Datetime,Temp_max,Temp_min,Temp_med,Temp_dp,Temp_mediana,Umi_max,Umi_min,Umi_med,Umi_dp,Umi_mediana,Vel_vento_max,Vel_vento_min,Vel_vento_med,Vel_vento_dp,Vel_vento_mediana,Dir_vento_med,Dir_vento_dp,Dir_vento_mediana,Chuva_tot,Chuva_dp
2023-01-31,34.9,18.6,24.82,3.37,24.35,94.0,40.0,80.32,12.15,84.0,5.0,0.0,1.44,1.08,1.1,157.66,97.83,120.0,154.6,1.57
2023-02-28,35.6,19.4,25.4,3.4,24.3,94.0,42.0,80.78,13.26,86.0,6.4,0.1,1.36,1.03,1.0,175.25,98.89,169.0,267.2,1.8
2023-03-31,36.5,18.7,24.88,3.13,24.6,94.0,40.0,82.36,11.77,86.0,5.3,0.1,1.31,1.0,0.9,148.98,98.23,110.0,310.8,2.44
2023-04-30,32.2,11.6,22.0,3.23,22.1,95.0,38.0,83.74,11.41,89.0,3.8,0.1,1.17,0.84,0.8,149.87,94.09,116.0,225.8,1.22
2023-05-31,32.4,11.2,20.25,3.79,20.4,96.0,42.0,85.1,11.76,91.0,4.5,0.1,1.0,0.74,0.7,156.11,95.21,127.5,61.4,0.43
2023-06-30,33.0,10.8,18.58,4.16,17.9,96.0,30.0,84.96,14.31,92.0,4.5,0.0,0.87,0.83,0.6,147.02,111.87,121.5,201.6,1.22
2023-07-31,29.4,8.5,18.17,3.51,18.0,96.0,26.0,85.62,12.53,91.5,4.2,0.0,0.49,0.87,0.0,53.42,92.39,0.0,140.6,0.69
2023-08-31,36.6,12.4,19.45,3.96,18.5,96.0,29.0,84.1,13.89,91.0,5.4,0.0,0.64,1.07,0.0,56.85,95.6,0.0,223.8,0.85
2023-09-30,40.2,11.0,21.7,3.97,21.2,95.0,30.0,82.55,11.96,86.0,4.8,0.0,0.3,0.79,0.0,24.68,72.18,0.0,67.2,0.57
2023-10-31,32.2,16.9,21.12,2.28,20.7,95.0,61.0,87.69,6.67,90.0,5.0,0.0,0.3,0.82,0.0,23.99,63.33,0.0,404.6,2.13
2023-11-30,40.0,13.2,23.44,3.7,23.2,95.0,32.0,83.35,11.97,87.0,6.5,0.0,0.5,1.06,0.0,37.15,84.77,0.0,151.4,1.36
2023-12-31,38.9,16.8,25.12,3.45,24.9,95.0,35.0,80.6,12.27,83.0,4.1,0.0,0.97,1.19,0.0,64.85,87.56,0.0,77.6,0.52
